epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,379.809,0.50481,0.44544,0.85441,0.98619,0.96481,0.96892,0.91082,0.37004,0.34943,0.77779,0.000544625,0.000544625,0.000544625
59,386.371,0.48587,0.43867,0.83655,0.98258,0.96815,0.97206,0.90558,0.37021,0.34601,0.7772,0.00053225,0.00053225,0.00053225
60,392.776,0.47285,0.42801,0.83508,0.99267,0.95996,0.9688,0.88777,0.39743,0.35005,0.78336,0.000519875,0.000519875,0.000519875
61,399.172,0.48877,0.43289,0.84358,0.9886,0.95699,0.97373,0.88496,0.43002,0.35252,0.77762,0.0005075,0.0005075,0.0005075
62,405.594,0.44473,0.40526,0.8441,0.99229,0.95341,0.96698,0.87947,0.41038,0.34155,0.77739,0.000495125,0.000495125,0.000495125
63,412.179,0.49914,0.42455,0.84539,0.98235,0.96074,0.96398,0.88302,0.4044,0.35161,0.77712,0.00048275,0.00048275,0.00048275
64,418.715,0.48535,0.41211,0.83771,0.98844,0.96429,0.96361,0.88855,0.38903,0.33364,0.77467,0.000470375,0.000470375,0.000470375
65,425.132,0.47998,0.42333,0.85439,0.9825,0.94903,0.971,0.90714,0.36009,0.33427,0.77088,0.000458,0.000458,0.000458
66,431.404,0.46784,0.40205,0.83608,0.97547,0.95154,0.97541,0.91291,0.35568,0.34605,0.77186,0.000445625,0.000445625,0.000445625
67,437.878,0.47688,0.41821,0.85391,0.97635,0.95788,0.97205,0.92274,0.3519,0.34689,0.77245,0.00043325,0.00043325,0.00043325
68,444.297,0.47807,0.41916,0.84974,0.98833,0.95301,0.97007,0.90888,0.34841,0.32036,0.77015,0.000420875,0.000420875,0.000420875
69,450.633,0.46854,0.40809,0.85172,0.99334,0.94822,0.96898,0.90703,0.3486,0.3179,0.76836,0.0004085,0.0004085,0.0004085
70,456.942,0.46268,0.40475,0.83544,0.98492,0.96222,0.96798,0.90846,0.32842,0.3065,0.76588,0.000396125,0.000396125,0.000396125
71,463.16,0.46483,0.40877,0.84267,0.98526,0.96429,0.96411,0.90717,0.36026,0.31462,0.76598,0.00038375,0.00038375,0.00038375
72,469.75,0.42975,0.39516,0.83656,0.99089,0.96429,0.96696,0.91157,0.3385,0.29809,0.76309,0.000371375,0.000371375,0.000371375
73,476.146,0.45593,0.41231,0.85324,0.99184,0.96004,0.9645,0.91014,0.32366,0.29424,0.76566,0.000359,0.000359,0.000359
74,482.573,0.45211,0.39136,0.83598,0.9858,0.96429,0.97166,0.92618,0.33038,0.30154,0.76413,0.000346625,0.000346625,0.000346625
